Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
16-01-2009,2009,,521360,660000,Single Family,Detached House,3,3,1023,1.025953,West
16-01-2009,2009,Greenwich,1692810,2750000,Single Family,Detached House,3,2,925,1.025953,West
17-01-2009,2009,Bridgeport,81620,220000,?,Duplex,4,2,1489,1.025953,West
17-01-2009,2009,Greenwich,1471050,2345000,Single Family,Detached House,3,1,1052,1.025953,North
18-01-2009,2009,,72240,80000,Two Family,Duplex,4,4,1451,1.025953,North
19-01-2009,2009,Fairfield,,185250,Single Family,Detached House,3,3,1023,1.025953,East
19-01-2009,2009,,3377220,7250000,Single Family,Detached House,3,2,901,1.025953,North
19-01-2009,2009,Norwalk,594230,1300000,?,Detached House,3,1,967,1.025953,North
19-01-2009,2009,Norwalk,314790,430000,Single Family,Detached House,3,2,1028,1.025953,West
19-01-2009,2009,Bridgeport,110320,60000,Three Family,Triplex,6,5,1938,1.025953,South
19-01-2009,2009,Greenwich,4252150,7850000,Single Family,Detached House,3,2,905,1.025953,East
22-01-2009,2009,Waterbury,61040,148000,?,Detached House,3,3,1053,1.025953,South
22-01-2009,2009,Norwalk,301350,617000,Single Family,Detached House,3,1,1011,1.025953,North
22-01-2009,2009,Greenwich,,1100000,Single Family,Detached House,3,2,918,1.025953,South
22-01-2009,2009,Bridgeport,82250,202000,?,Detached House,3,2,1085,1.025953,North
23-01-2009,2009,Bridgeport,89670,266000,Two Family,Duplex,4,3,,1.025953,West
24-01-2009,2009,Waterbury,83930,240000,Three Family,Triplex,6,4,1899,1.025953,South
24-01-2009,2009,Bridgeport,114736,275000,Single Family,Detached House,3,2,1007,1.025953,East
24-01-2009,2009,Bridgeport,111720,265000,?,Detached House,3,3,947,1.025953,West
25-01-2009,2009,,,789000,Single Family,Detached House,3,1,923,1.025953,East
25-01-2009,2009,,81920,195000,Single Family,Detached House,3,2,940,1.025953,South
26-01-2009,2009,Fairfield,241430,290000,Single Family,Detached House,3,2,914,1.025953,West
26-01-2009,2009,Norwalk,306250,600000,?,Detached House,3,1,1087,1.025953,West
26-01-2009,2009,Bridgeport,4775276,294900,Single Family,Detached House,3,3,986,1.025953,West
27-01-2009,2009,,78050,82500,Single Family,Detached House,3,2,934,1.025953,North
29-01-2009,2009,,90720,200000,Single Family,Detached House,3,2,1073,1.025953,West
29-01-2009,2009,Waterbury,87500,188600,Three Family,Triplex,6,5,1949,1.025953,North
30-01-2009,2009,Bridgeport,88607,161000,Single Family,Detached House,3,3,984,1.025953,South
30-01-2009,2009,Bridgeport,196805,295000,Three Family,Triplex,6,4,1988,1.025953,East
30-01-2009,2009,Waterbury,75250,145000,Single Family,Detached House,3,1,958,1.025953,North
30-01-2009,2009,Norwalk,343910,650000,Single Family,Detached House,3,2,978,1.025953,East
30-01-2009,2009,Fairfield,565390,655000,?,Detached House,3,3,956,1.025953,South
31-01-2009,2009,Bridgeport,110460,239000,Single Family,Detached House,3,3,911,1.025953,North
31-01-2009,2009,Fairfield,425180,565000,?,Detached House,3,1,928,1.025953,West
31-01-2009,2009,Greenwich,2540720,3845000,Single Family,Detached House,3,3,,1.025953,East
31-01-2009,2009,Bridgeport,182070,369000,Two Family,Duplex,4,2,1383,1.025953,South
31-01-2009,2009,Norwalk,234290,60000,Single Family,Detached House,3,3,,1.025953,South
31-01-2009,2009,Waterbury,88480,220000,Single Family,Detached House,3,1,1057,1.025953,East
01-02-2009,2009,Waterbury,74480,163000,Single Family,Detached House,3,3,973,1.025953,North
01-02-2009,2009,Fairfield,243880,400000,Two Family,Duplex,4,2,1456,1.025953,South
01-02-2009,2009,Norwalk,232610,410000,?,Detached House,3,3,1032,1.025953,South
01-02-2009,2009,Greenwich,4122790,6150000,Single Family,Detached House,3,2,1030,1.025953,East
01-02-2009,2009,Bridgeport,,275000,Single Family,Detached House,3,1,1069,1.025953,East
02-02-2009,2009,Waterbury,,142900,Single Family,Detached House,3,1,,1.025953,East
02-02-2009,2009,,95410,159000,Single Family,Detached House,3,1,947,1.025953,East
02-02-2009,2009,Greenwich,,3500000,Single Family,Detached House,3,3,1061,1.025953,East
05-02-2009,2009,,76580,217500,Single Family,Detached House,3,3,947,1.025953,East
05-02-2009,2009,,,420000,Three Family,Triplex,6,5,1945,1.025953,East
05-02-2009,2009,Waterbury,96250,215000,?,Detached House,3,2,1095,1.025953,West
05-02-2009,2009,Bridgeport,,270000,Single Family,Detached House,3,1,948,1.025953,East
06-02-2009,2009,Greenwich,425250,2095000,Single Family,Detached House,3,2,938,1.025953,South
06-02-2009,2009,Greenwich,662200,775000,Single Family,Detached House,3,3,1083,1.025953,North
06-02-2009,2009,Bridgeport,,220000,Single Family,Detached House,3,1,977,1.025953,East
07-02-2009,2009,Bridgeport,81270,230000,Single Family,Detached House,3,2,1020,1.025953,North
07-02-2009,2009,,245140,287000,Single Family,Detached House,3,2,1032,1.025953,East
08-02-2009,2009,Bridgeport,121100,275000,Two Family,Duplex,4,3,1224,1.025953,North
08-02-2009,2009,Bridgeport,174231,363000,Four Family,Fourplex,8,6,2935,1.025953,South
09-02-2009,2009,Waterbury,110740,345000,Single Family,Detached House,3,2,1100,1.025953,North
09-02-2009,2009,Waterbury,69860,112000,Single Family,Detached House,3,3,1063,1.025953,South
09-02-2009,2009,Fairfield,720300,975000,?,Detached House,3,2,947,1.025953,North
13-02-2009,2009,Waterbury,73570,168000,Single Family,Detached House,3,3,1072,1.025953,West
15-02-2009,2009,Norwalk,,800000,Single Family,Detached House,3,3,1049,1.025953,East
15-02-2009,2009,Waterbury,49000,129900,Single Family,Detached House,3,1,1092,1.025953,South
15-02-2009,2009,Waterbury,159180,240000,?,Detached House,3,2,928,1.025953,East
16-02-2009,2009,Waterbury,67410,165500,Single Family,Detached House,3,2,,1.025953,East
16-02-2009,2009,Bridgeport,115430,261000,Single Family,Detached House,3,1,910,1.025953,South
16-02-2009,2009,Bridgeport,121240,272000,?,Detached House,3,1,,1.025953,East
16-02-2009,2009,Waterbury,77560,180000,Single Family,Detached House,3,1,1040,1.025953,South
16-02-2009,2009,Bridgeport,103600,245000,Single Family,Detached House,3,2,1069,1.025953,East
19-02-2009,2009,Bridgeport,116190,312500,Single Family,Detached House,3,1,954,1.025953,West
20-02-2009,2009,Bridgeport,104931,303500,?,Duplex,4,2,1382,1.025953,North
20-02-2009,2009,Norwalk,215600,437000,Single Family,Detached House,3,1,1021,1.025953,South
20-02-2009,2009,Norwalk,724240,1160000,Single Family,Detached House,3,2,929,1.025953,West
20-02-2009,2009,Norwalk,267470,555000,?,Detached House,3,3,901,1.025953,South
20-02-2009,2009,Fairfield,236180,410000,?,Detached House,3,3,,1.025953,North
21-02-2009,2009,Waterbury,47050,96400,Single Family,Detached House,3,1,913,1.025953,West
21-02-2009,2009,Greenwich,,1200000,Single Family,Detached House,3,1,970,1.025953,South
21-02-2009,2009,Waterbury,62300,139900,Single Family,Detached House,3,3,909,1.025953,North
21-02-2009,2009,Norwalk,250040,500000,Single Family,Detached House,3,1,1032,1.025953,West
21-02-2009,2009,,131180,270000,Single Family,Detached House,3,2,930,1.025953,West
21-02-2009,2009,,67690,175000,Single Family,Detached House,3,2,1037,1.025953,South
22-02-2009,2009,Waterbury,49490,119900,Single Family,Detached House,3,1,959,1.025953,South
22-02-2009,2009,Bridgeport,145040,340000,?,Duplex,4,3,1437,1.025953,West
22-02-2009,2009,Bridgeport,,42500,Two Family,Duplex,4,4,1382,1.025953,East
22-02-2009,2009,Bridgeport,143290,155000,Two Family,Duplex,4,3,1399,1.025953,South
22-02-2009,2009,Waterbury,,159650,Single Family,Detached House,3,3,1007,1.025953,West
23-02-2009,2009,Bridgeport,122570,173000,Single Family,Detached House,3,3,1070,1.025953,North
23-02-2009,2009,Norwalk,209370,536000,Two Family,Duplex,4,4,1489,1.025953,West
23-02-2009,2009,,94220,315000,?,Triplex,6,4,2197,1.025953,East
23-02-2009,2009,Fairfield,,1110000,Single Family,Detached House,3,2,1058,1.025953,North
23-02-2009,2009,,974680,1655000,Single Family,Detached House,3,2,1037,1.025953,South
27-02-2009,2009,,,99900,Single Family,Detached House,3,3,1033,1.025953,North
27-02-2009,2009,Fairfield,353850,487500,Single Family,Detached House,3,2,972,1.025953,East
27-02-2009,2009,Bridgeport,417904,225000,Three Family,Triplex,6,4,1904,1.025953,East
28-02-2009,2009,Greenwich,1286460,1877300,Single Family,Detached House,3,3,1055,1.025953,East
28-02-2009,2009,Fairfield,278040,389000,Single Family,Detached House,3,2,1020,1.025953,East
28-02-2009,2009,,291060,567500,Single Family,Detached House,3,1,1087,1.025953,South
01-03-2009,2009,Waterbury,74620,179900,Single Family,Detached House,3,3,917,1.025953,South
01-03-2009,2009,Norwalk,240660,449000,Single Family,Detached House,3,1,1072,1.025953,East
01-03-2009,2009,Bridgeport,,127550,Single Family,Detached House,3,1,941,1.025953,East
01-03-2009,2009,Fairfield,353990,635000,Single Family,Detached House,3,3,931,1.025953,West
01-03-2009,2009,Waterbury,55300,48521,Single Family,Detached House,3,1,1061,1.025953,North
01-03-2009,2009,,140000,233000,Single Family,Detached House,3,1,,1.025953,North
01-03-2009,2009,Greenwich,582890,925000,Single Family,Detached House,3,2,1054,1.025953,West
02-03-2009,2009,,78890,139000,Single Family,Detached House,3,2,1062,1.025953,South
02-03-2009,2009,Norwalk,,462500,Single Family,Detached House,3,3,996,1.025953,East
02-03-2009,2009,,139300,285000,Single Family,Detached House,3,3,929,1.025953,South
02-03-2009,2009,Bridgeport,69370,190000,Single Family,Detached House,3,2,,1.025953,South
03-03-2009,2009,Norwalk,454510,849000,Single Family,Detached House,3,2,,1.025953,East
05-03-2009,2009,,160370,330000,Three Family,Triplex,6,6,2112,1.025953,South
05-03-2009,2009,Greenwich,1290940,2215000,?,Detached House,3,3,1007,1.025953,West
06-03-2009,2009,Norwalk,290640,523000,Single Family,Detached House,3,3,1064,1.025953,South
06-03-2009,2009,Fairfield,,350000,?,Detached House,3,2,1067,1.025953,West
06-03-2009,2009,Greenwich,2051980,3300000,Single Family,Detached House,3,2,943,1.025953,South
07-03-2009,2009,Norwalk,,365000,Single Family,Detached House,3,2,952,1.025953,East
08-03-2009,2009,Greenwich,,4100000,Single Family,Detached House,3,2,1068,1.025953,West
08-03-2009,2009,Greenwich,1690010,1700000,?,Detached House,3,2,1037,1.025953,South
08-03-2009,2009,Bridgeport,58800,117500,Single Family,Detached House,3,1,915,1.025953,North
09-03-2009,2009,Bridgeport,100450,269350,Three Family,Triplex,6,4,2126,1.025953,West
09-03-2009,2009,Waterbury,55790,100000,Single Family,Detached House,3,2,1034,1.025953,North
12-03-2009,2009,Bridgeport,148820,243000,Single Family,Detached House,3,3,1034,1.025953,North
12-03-2009,2009,Waterbury,71680,165000,Single Family,Detached House,3,1,926,1.025953,North
12-03-2009,2009,Fairfield,331730,360000,Single Family,Detached House,3,1,920,1.025953,East
13-03-2009,2009,Waterbury,60970,122375,Single Family,Detached House,3,1,,1.025953,North
13-03-2009,2009,,113750,195000,Three Family,Triplex,6,6,2004,1.025953,West
14-03-2009,2009,Fairfield,1032220,1300000,Single Family,Detached House,3,3,911,1.025953,North
14-03-2009,2009,Bridgeport,115360,233000,Two Family,Duplex,4,2,1454,1.025953,North
15-03-2009,2009,Waterbury,62930,159000,?,Detached House,3,3,1041,1.025953,North
15-03-2009,2009,Waterbury,76860,153000,?,Detached House,3,2,1028,1.025953,East
15-03-2009,2009,Greenwich,2096780,4200000,Single Family,Detached House,3,3,912,1.025953,East
15-03-2009,2009,Fairfield,357210,447500,?,Detached House,3,2,942,1.025953,West
15-03-2009,2009,,3416000,4200000,Single Family,Detached House,3,3,1008,1.025953,West
15-03-2009,2009,Greenwich,1214570,2200000,Single Family,Detached House,3,1,908,1.025953,East
16-03-2009,2009,Fairfield,334040,515000,Single Family,Detached House,3,3,907,1.025953,South
19-03-2009,2009,Waterbury,55860,148847,Two Family,Duplex,4,2,1339,1.025953,East
19-03-2009,2009,Waterbury,96880,280200,Single Family,Detached House,3,2,946,1.025953,North
19-03-2009,2009,Greenwich,1438220,1250000,?,Detached House,3,2,,1.025953,South
19-03-2009,2009,Bridgeport,144200,150000,?,Detached House,3,3,1057,1.025953,South
19-03-2009,2009,Greenwich,1568490,2050000,?,Detached House,3,2,1022,1.025953,North
20-03-2009,2009,Waterbury,69650,29000,Two Family,Duplex,4,2,1396,1.025953,South
20-03-2009,2009,Bridgeport,91491,148000,Three Family,Triplex,6,6,2026,1.025953,West
20-03-2009,2009,Bridgeport,126630,269000,Single Family,Detached House,3,1,1053,1.025953,East
20-03-2009,2009,Fairfield,456050,547500,Single Family,Detached House,3,3,1071,1.025953,East
20-03-2009,2009,Bridgeport,,42500,?,Detached House,3,2,1100,1.025953,West
21-03-2009,2009,Waterbury,,166000,Two Family,Duplex,4,2,1426,1.025953,North
21-03-2009,2009,Norwalk,209650,360000,Single Family,Detached House,3,2,961,1.025953,West
22-03-2009,2009,Waterbury,73640,189000,Single Family,Detached House,3,2,,1.025953,West
22-03-2009,2009,Greenwich,,1580000,Single Family,Detached House,3,3,926,1.025953,North
22-03-2009,2009,Greenwich,,640000,Single Family,Detached House,3,2,931,1.025953,South
22-03-2009,2009,Norwalk,219100,427000,Single Family,Detached House,3,3,1021,1.025953,West
23-03-2009,2009,Waterbury,70070,235000,Three Family,Triplex,6,4,1831,1.025953,South
23-03-2009,2009,Greenwich,1716610,3000000,Single Family,Detached House,3,2,,1.025953,North
23-03-2009,2009,,2120860,3187900,Single Family,Detached House,3,2,944,1.025953,North
26-03-2009,2009,Waterbury,,80000,Two Family,Duplex,4,2,1200,1.025953,South
27-03-2009,2009,,,3900000,Single Family,Detached House,3,3,,1.025953,South
27-03-2009,2009,Fairfield,764680,925000,Single Family,Detached House,3,1,1071,1.025953,West
28-03-2009,2009,Bridgeport,109130,235000,Single Family,Detached House,3,3,985,1.025953,South
29-03-2009,2009,Norwalk,196350,385000,Single Family,Detached House,3,2,1007,1.025953,North
29-03-2009,2009,Bridgeport,72380,249900,Two Family,Duplex,4,4,1347,1.025953,South
30-03-2009,2009,Norwalk,262500,412000,Single Family,Detached House,3,3,1064,1.025953,South
30-03-2009,2009,Waterbury,30030,82000,Three Family,Triplex,6,4,1921,1.025953,South
30-03-2009,2009,Fairfield,353360,446000,Single Family,Detached House,3,1,1066,1.025953,North
30-03-2009,2009,Norwalk,389410,630000,Single Family,Detached House,3,1,1016,1.025953,West
30-03-2009,2009,Greenwich,1089270,1865000,Single Family,Detached House,3,2,1097,1.025953,East
30-03-2009,2009,Norwalk,234220,395000,Single Family,Detached House,3,3,936,1.025953,East
30-03-2009,2009,Greenwich,1551410,2390000,Single Family,Detached House,3,2,974,1.025953,North
30-03-2009,2009,Waterbury,30590,88000,Single Family,Detached House,3,3,1044,1.025953,South
30-03-2009,2009,Bridgeport,125161,92500,Two Family,Duplex,4,2,,1.025953,South
30-03-2009,2009,,1243200,1956000,Single Family,Detached House,3,2,1088,1.025953,East
30-03-2009,2009,Bridgeport,152250,329600,Single Family,Detached House,3,1,963,1.025953,East
30-03-2009,2009,Bridgeport,108920,161000,Three Family,Triplex,6,6,1965,1.025953,East
02-04-2009,2009,Fairfield,,1702000,Single Family,Detached House,3,2,1056,1.025953,West
02-04-2009,2009,,53410,144000,Two Family,Duplex,4,3,1386,1.025953,East
02-04-2009,2009,Bridgeport,140350,270000,?,Duplex,4,3,1244,1.025953,East
02-04-2009,2009,Norwalk,,2800000,Single Family,Detached House,3,1,1028,1.025953,East
02-04-2009,2009,Bridgeport,109900,407000,?,Duplex,4,2,,1.025953,East
03-04-2009,2009,Bridgeport,141260,280000,Single Family,Detached House,3,1,966,1.025953,South
04-04-2009,2009,Bridgeport,135801,294000,Single Family,Detached House,3,3,1092,1.025953,East
04-04-2009,2009,Bridgeport,155470,231750,Three Family,Triplex,6,5,1988,1.025953,South
04-04-2009,2009,Greenwich,1352960,1650000,Single Family,Detached House,3,2,1063,1.025953,North
04-04-2009,2009,Norwalk,,1550000,Single Family,Detached House,3,2,1099,1.025953,North
05-04-2009,2009,Bridgeport,79660,242050,Two Family,Duplex,4,3,1407,1.025953,West
05-04-2009,2009,Greenwich,2556890,2550000,Single Family,Detached House,3,3,1054,1.025953,East
05-04-2009,2009,Greenwich,,9300000,?,Detached House,3,3,1019,1.025953,East
09-04-2009,2009,Norwalk,211820,450000,?,Detached House,3,3,1005,1.025953,West
09-04-2009,2009,Bridgeport,176750,257000,Three Family,Triplex,6,4,1804,1.025953,East
09-04-2009,2009,Greenwich,745290,1325000,Two Family,Duplex,4,3,1347,1.025953,East
10-04-2009,2009,Bridgeport,128730,250000,Single Family,Detached House,3,1,947,1.025953,South
10-04-2009,2009,Bridgeport,69370,109900,Two Family,Duplex,4,2,1431,1.025953,North
10-04-2009,2009,Fairfield,584150,665000,Single Family,Detached House,3,2,909,1.025953,West
10-04-2009,2009,Waterbury,57120,133000,?,Detached House,3,1,972,1.025953,North
11-04-2009,2009,,317520,630000,Single Family,Detached House,3,2,1085,1.025953,North
12-04-2009,2009,Norwalk,231490,521500,Single Family,Detached House,3,3,1064,1.025953,North
12-04-2009,2009,Greenwich,655550,715500,?,Detached House,3,2,991,1.025953,East
13-04-2009,2009,Fairfield,344330,485000,Single Family,Detached House,3,1,988,1.025953,East
13-04-2009,2009,Waterbury,60620,164000,?,Detached House,3,1,1098,1.025953,East
13-04-2009,2009,Fairfield,254450,343000,Single Family,Detached House,3,1,942,1.025953,South
13-04-2009,2009,Norwalk,1336580,1675000,Single Family,Detached House,3,3,,1.025953,South
16-04-2009,2009,Waterbury,64260,160000,?,Detached House,3,2,1013,1.025953,West
16-04-2009,2009,Bridgeport,121590,318558,Three Family,Triplex,6,6,1924,1.025953,East
16-04-2009,2009,Waterbury,54460,156000,Single Family,Detached House,3,1,1096,1.025953,North
16-04-2009,2009,Fairfield,980840,1775000,Single Family,Detached House,3,1,993,1.025953,East
17-04-2009,2009,Bridgeport,132300,324000,Two Family,Duplex,4,2,1329,1.025953,East
17-04-2009,2009,,60270,165000,?,Duplex,4,2,1219,1.025953,North
17-04-2009,2009,Fairfield,425740,450000,?,Detached House,3,3,953,1.025953,East
17-04-2009,2009,Norwalk,240870,506000,Single Family,Detached House,3,2,1021,1.025953,West
18-04-2009,2009,Fairfield,359730,544770,Single Family,Detached House,3,3,1026,1.025953,West
18-04-2009,2009,Norwalk,340900,690000,Single Family,Detached House,3,1,954,1.025953,South
20-04-2009,2009,Greenwich,1749930,3140000,Single Family,Detached House,3,2,,1.025953,North
23-04-2009,2009,Waterbury,21000,30000,Single Family,Detached House,3,1,922,1.025953,North
23-04-2009,2009,Greenwich,2404360,3100000,?,Detached House,3,1,1088,1.025953,South
23-04-2009,2009,Greenwich,1309210,2195000,Single Family,Detached House,3,3,920,1.025953,North
23-04-2009,2009,Bridgeport,156380,340000,Single Family,Detached House,3,3,1037,1.025953,West
23-04-2009,2009,Greenwich,552440,730000,Single Family,Detached House,3,2,,1.025953,South
23-04-2009,2009,Norwalk,835870,757992,Single Family,Detached House,3,3,1077,1.025953,North
24-04-2009,2009,Waterbury,,205000,?,Detached House,3,3,930,1.025953,East
24-04-2009,2009,Norwalk,248360,455000,Single Family,Detached House,3,1,1023,1.025953,North
25-04-2009,2009,Waterbury,65310,126600,Single Family,Detached House,3,3,1070,1.025953,North
26-04-2009,2009,Norwalk,,425000,?,Detached House,3,3,1059,1.025953,East
26-04-2009,2009,,70210,160000,Single Family,Detached House,3,3,1008,1.025953,West
27-04-2009,2009,Bridgeport,108920,252000,Two Family,Duplex,4,3,1364,1.025953,West
27-04-2009,2009,Fairfield,657300,1172500,Single Family,Detached House,3,3,1064,1.025953,East
27-04-2009,2009,Waterbury,67070,82000,?,Triplex,6,4,2081,1.025953,North
27-04-2009,2009,,82950,225000,Single Family,Detached House,3,3,1040,1.025953,South
27-04-2009,2009,Greenwich,1149400,1468001,Single Family,Detached House,3,2,1001,1.025953,West
30-04-2009,2009,Fairfield,334670,427700,Single Family,Detached House,3,3,1099,1.025953,West
30-04-2009,2009,Waterbury,96670,184900,?,Detached House,3,2,958,1.025953,West
30-04-2009,2009,Waterbury,104230,243000,Single Family,Detached House,3,2,1074,1.025953,West
30-04-2009,2009,Norwalk,205100,420000,Single Family,Detached House,3,2,1090,1.025953,East
30-04-2009,2009,Bridgeport,101640,210000,Single Family,Detached House,3,3,981,1.025953,East
30-04-2009,2009,Bridgeport,115150,226000,Single Family,Detached House,3,1,955,1.025953,North
01-05-2009,2009,Waterbury,65730,150000,Single Family,Detached House,3,2,1040,1.025953,North
01-05-2009,2009,Waterbury,57470,143400,?,Detached House,3,3,996,1.025953,North
01-05-2009,2009,Fairfield,437500,565000,Single Family,Detached House,3,1,1074,1.025953,South
01-05-2009,2009,Waterbury,106190,262000,?,Triplex,6,4,1879,1.025953,South
01-05-2009,2009,Fairfield,,950000,?,Detached House,3,2,1031,1.025953,West
01-05-2009,2009,Greenwich,448070,738300,Single Family,Detached House,3,1,936,1.025953,West
01-05-2009,2009,Bridgeport,98560,239000,?,Detached House,3,3,1073,1.025953,South
02-05-2009,2009,Bridgeport,210560,500000,Two Family,Duplex,4,3,1330,1.025953,West
02-05-2009,2009,Waterbury,84490,199900,?,Detached House,3,3,942,1.025953,South
03-05-2009,2009,Norwalk,,465000,Single Family,Detached House,3,2,1028,1.025953,East
04-05-2009,2009,Waterbury,95060,268900,?,Detached House,3,3,1043,1.025953,South
04-05-2009,2009,Waterbury,56840,139000,Single Family,Detached House,3,2,903,1.025953,South
07-05-2009,2009,Fairfield,447580,570000,Single Family,Detached House,3,2,1050,1.025953,West
08-05-2009,2009,Bridgeport,196350,470000,Three Family,Triplex,6,4,2108,1.025953,West
08-05-2009,2009,Waterbury,85330,220000,Single Family,Detached House,3,1,1051,1.025953,East
09-05-2009,2009,Waterbury,16100,40000,?,Detached House,3,3,1097,1.025953,North
09-05-2009,2009,,69860,225000,Two Family,Duplex,4,4,1272,1.025953,North
10-05-2009,2009,Waterbury,53690,95600,Single Family,Detached House,3,1,954,1.025953,North
10-05-2009,2009,Bridgeport,96600,135000,Two Family,Duplex,4,2,1294,1.025953,North
10-05-2009,2009,Fairfield,260260,338000,Single Family,Detached House,3,1,986,1.025953,South
10-05-2009,2009,,316820,495000,Single Family,Detached House,3,1,1071,1.025953,West
10-05-2009,2009,Waterbury,65170,100000,Single Family,Detached House,3,2,924,1.025953,North
11-05-2009,2009,Greenwich,663530,930000,Single Family,Detached House,3,1,985,1.025953,East
14-05-2009,2009,Waterbury,56210,170000,Single Family,Detached House,3,1,965,1.025953,North
15-05-2009,2009,,,6632000,?,Detached House,3,1,1086,1.025953,West
15-05-2009,2009,Greenwich,2125270,3900000,Single Family,Detached House,3,1,988,1.025953,South
15-05-2009,2009,Fairfield,,355000,?,Detached House,3,2,920,1.025953,East
15-05-2009,2009,Norwalk,277970,477000,Single Family,Detached House,3,2,929,1.025953,East
16-05-2009,2009,Norwalk,227150,550900,Two Family,Duplex,4,4,1259,1.025953,North
16-05-2009,2009,Waterbury,69020,125000,?,Triplex,6,5,1827,1.025953,West
17-05-2009,2009,Norwalk,290430,550000,Single Family,Detached House,3,2,983,1.025953,North
17-05-2009,2009,,1344770,2250000,?,Detached House,3,2,1039,1.025953,South
17-05-2009,2009,Bridgeport,150010,315000,Two Family,Duplex,4,3,1469,1.025953,East
17-05-2009,2009,Greenwich,434560,784000,Three Family,Triplex,6,4,1991,1.025953,North
18-05-2009,2009,,171290,365000,Single Family,Detached House,3,1,1015,1.025953,East
18-05-2009,2009,Fairfield,412370,547500,Single Family,Detached House,3,3,1054,1.025953,East
18-05-2009,2009,Fairfield,271320,345000,Single Family,Detached House,3,2,1019,1.025953,North
18-05-2009,2009,Fairfield,,597500,Single Family,Detached House,3,3,1001,1.025953,North
18-05-2009,2009,Waterbury,53480,235000,Three Family,Triplex,6,5,2176,1.025953,East
18-05-2009,2009,Waterbury,30940,32500,Single Family,Detached House,3,1,995,1.025953,North
