student_id,department,study_mode,hosteller,attendance,assignment_score,midterm_score,final_score,study_hours,backlogs
93,ECE,Offline,No,63,91,62,89,3.7,7
94,ME,Hybrid,No,92,40,91,31,2.5,3
95,CE,Offline,No,73,92,86,34,6.7,5
96,EE,Hybrid,Yes,62,44,31,90,2.1,7
97,CE,Hybrid,No,54,30,71,81,4.3,3
98,ECE,Offline,Yes,71,,91,35,3.6,7
99,CSE,Online,Yes,95,80,60,92,6.2,7
100,CSE,Online,Yes,57,79,56,42,1.8,6
101,CE,Online,No,66,59,51,49,2.6,4
102,CSE,Hybrid,No,52,81,92,84,,4
103,ECE,Offline,Yes,70,98,87,70,,4
104,ECE,Online,Yes,69,48,80,94,6,3
105,CSE,Hybrid,Yes,98,44,70,43,2.5,7
106,CE,Online,No,80,38,51,61,2.8,7
107,ECE,Offline,Yes,87,,64,32,3,4
108,CE,Hybrid,Yes,62,92,40,50,0.2,4
109,EE,Hybrid,No,77,46,69,35,3.7,0
110,EE,Offline,Yes,84,30,95,62,4.4,3
111,ECE,Online,Yes,52,33,24,93,5.7,4
112,EE,Hybrid,Yes,46,81,22,54,0.1,0
113,EE,Online,No,81,71,78,97,5.6,2
114,CE,Offline,No,97,68,80,63,5.6,7
115,EE,Online,No,62,75,83,30,2.8,4
116,CE,Online,Yes,76,58,85,45,4.7,2
117,CSE,Hybrid,Yes,96,94,58,44,4.2,1
118,EE,Online,No,85,81,45,28,5.3,0
119,EE,Hybrid,No,85,36,83,68,2.4,4
120,EE,Online,No,70,35,86,26,5.6,7
121,EE,Hybrid,No,95,86,65,30,4.5,2
122,CSE,Offline,No,45,68,95,80,2,1
123,CSE,Offline,Yes,53,86,20,64,5.3,5
124,ECE,Online,Yes,73,,70,32,5,4
125,CSE,Online,Yes,77,53,83,28,2.4,1
126,CSE,Hybrid,Yes,95,91,36,53,2.4,0
127,EE,Hybrid,Yes,54,60,68,76,5.1,4
128,ME,Offline,Yes,50,48,35,55,6,0
129,ME,Hybrid,No,96,44,91,57,2.5,6
130,CSE,Online,Yes,81,66,31,59,2.7,1
131,ECE,Offline,Yes,58,70,29,55,0.5,4
132,CSE,Hybrid,Yes,68,72,81,25,5.2,3
133,ME,Online,No,77,80,90,92,3.4,0
134,EE,Hybrid,Yes,59,57,30,97,3.9,5
135,EE,Offline,No,58,,26,91,3.9,5
136,ECE,Offline,No,47,75,30,35,6.3,5
137,ME,Online,Yes,52,94,62,68,,4
138,CE,Offline,No,,97,62,73,6,1
139,ECE,Offline,Yes,74,30,39,72,4.4,1
140,EE,Online,Yes,93,44,97,84,4.4,1
141,CE,Hybrid,Yes,66,78,66,89,2.9,6
142,ECE,Online,Yes,81,83,85,64,5.9,2
143,ECE,Offline,Yes,45,33,27,28,5,6
144,CSE,Online,Yes,64,93,91,66,6.2,1
145,ECE,Hybrid,No,63,73,44,39,3.6,6
146,CE,Hybrid,Yes,81,38,25,64,1.6,2
147,ECE,Offline,No,95,50,37,48,3.5,2
148,CSE,Offline,No,47,68,60,53,7.9,0
149,ECE,Offline,No,76,71,62,42,5.4,7
150,ME,Hybrid,Yes,89,42,32,33,5,0
151,ME,Hybrid,No,80,56,25,86,3.6,7
152,ME,Hybrid,Yes,,33,57,49,3.4,6
153,ECE,Online,Yes,57,40,58,62,4.1,7
154,CE,Hybrid,Yes,53,36,88,62,5.7,4
155,ME,Offline,No,85,42,71,99,5.5,7
156,CE,Offline,No,57,78,96,56,5.4,2
157,ECE,Online,No,56,50,67,47,,1
158,ECE,Hybrid,Yes,,93,73,65,5.4,4
159,CE,Offline,Yes,72,84,25,39,5.6,4
160,CE,Offline,Yes,49,83,99,46,3.5,2
161,ME,Online,No,86,,45,36,5.3,6
162,EE,Hybrid,Yes,,68,54,29,5.8,0
163,CSE,Hybrid,Yes,66,82,73,80,3.3,0
164,CE,Online,Yes,95,30,65,58,4.8,0
165,ME,Offline,Yes,70,34,72,32,2.5,6
166,CE,Offline,No,77,77,43,80,1.8,5
167,ME,Hybrid,Yes,61,53,39,86,2.1,2
168,ME,Hybrid,No,64,91,60,66,7.6,2
169,CE,Offline,No,78,68,66,66,7.2,5
170,ECE,Hybrid,No,47,89,53,62,4.2,5
171,CE,Hybrid,No,48,86,69,51,5.3,2
172,ECE,Online,No,49,59,53,29,4.2,2
173,CE,Offline,Yes,60,84,77,91,5,0
174,CE,Online,Yes,48,83,58,71,7.2,3
175,CE,Offline,No,90,70,96,50,6.3,5
176,CE,Hybrid,No,71,53,44,46,2.8,0
177,CSE,Offline,No,78,59,99,65,3.2,2
178,CSE,Hybrid,No,78,73,89,61,4.3,1
179,EE,Online,Yes,59,74,42,31,4.1,0
180,EE,Hybrid,No,79,51,60,90,6.8,4
181,CSE,Hybrid,No,63,72,73,65,2.7,2
182,CSE,Hybrid,Yes,83,97,34,60,3.2,1
183,EE,Online,Yes,94,53,73,84,5.5,4
184,ECE,Hybrid,No,63,49,66,54,4.3,0
185,ME,Hybrid,Yes,89,37,29,65,3.8,3
186,ECE,Online,Yes,,96,38,81,2.7,2
187,EE,Online,No,,35,72,56,5.6,0
188,ECE,Offline,No,70,36,53,97,4.7,1
189,CE,Online,No,56,41,50,71,4.3,2
190,EE,Online,Yes,72,73,54,52,,7
191,ME,Hybrid,No,77,95,44,75,,7
192,ME,Offline,Yes,64,81,44,99,4.2,7
193,EE,Offline,No,62,39,25,35,4.7,7
194,CE,Online,Yes,,90,58,86,2.8,4
195,CSE,Hybrid,Yes,,50,58,41,4.4,2
196,CE,Offline,Yes,84,,94,59,4.1,1
197,CE,Hybrid,No,,53,61,85,5.8,1
198,ME,Online,Yes,70,30,35,77,1.9,1
199,ECE,Offline,No,93,59,47,81,6.4,4
200,ECE,Online,No,,89,92,93,2,4
201,ECE,Offline,No,50,35,60,67,,3
202,ME,Online,Yes,53,68,65,56,6,5
203,ME,Offline,No,56,33,67,64,2.8,1
204,ME,Hybrid,No,45,90,48,71,1.6,7
205,CSE,Hybrid,No,75,85,67,54,6.1,7
206,CSE,Offline,No,65,48,88,28,5.4,7
207,ECE,Hybrid,No,82,42,82,40,1.4,5
208,CE,Online,No,73,77,31,67,8.8,3
209,CE,Offline,Yes,98,38,36,51,6.4,7
210,CE,Online,No,47,74,37,89,7,6
211,ECE,Offline,No,92,96,97,76,3.2,7
212,CE,Online,Yes,61,43,23,83,2.9,5
213,ECE,Online,No,98,48,67,94,2.4,4
214,ME,Hybrid,No,77,70,57,28,4.7,4
215,EE,Hybrid,No,66,54,90,98,4.8,3
216,ECE,Online,No,90,,87,86,5.5,6
217,CSE,Online,Yes,,57,89,64,6.2,0
218,ECE,Hybrid,Yes,74,85,54,82,6.8,3
219,EE,Offline,No,71,33,22,25,3.9,7
220,ME,Offline,Yes,74,98,56,48,,1
221,CSE,Online,Yes,54,95,72,84,2.4,5
222,ECE,Hybrid,Yes,45,,66,30,2.5,0
223,ME,Hybrid,Yes,51,83,60,31,6.4,4
224,EE,Online,Yes,72,93,72,46,5,5
225,EE,Hybrid,No,61,72,97,43,4.2,4
226,EE,Offline,No,77,34,81,47,3.1,3
227,CE,Online,Yes,91,63,67,32,,6
228,CE,Online,Yes,80,96,25,83,7,6
229,ECE,Offline,Yes,72,43,64,27,5.2,4
230,EE,Hybrid,Yes,78,70,67,53,6.1,2
231,CSE,Online,No,93,76,22,52,4.7,5
232,EE,Offline,Yes,79,47,53,96,5.2,4
233,CSE,Online,No,47,72,74,59,4.3,2
234,CSE,Hybrid,Yes,86,43,43,91,7.1,7
235,CSE,Offline,Yes,53,83,88,69,4.4,3
236,ECE,Offline,No,73,79,99,83,5.7,1
237,CSE,Offline,Yes,79,,72,70,4.5,0
238,EE,Online,No,87,92,43,69,6.2,3
239,CE,Hybrid,No,61,55,30,88,8.8,5
240,ME,Offline,Yes,89,,94,91,4,5
241,EE,Online,No,82,33,66,38,,4
242,CSE,Offline,No,84,96,95,27,4,0
243,ECE,Offline,Yes,61,73,79,76,5.8,6
244,ME,Online,No,88,39,53,31,,4
245,ME,Offline,Yes,54,89,70,27,7.7,0
246,ME,Online,No,73,97,48,81,4.5,3
247,ME,Offline,Yes,67,83,23,59,8.7,2
248,CE,Offline,Yes,98,49,51,39,4.4,4
249,ME,Online,No,56,68,28,34,7.4,0
250,ECE,Online,No,60,69,45,67,5.2,5
251,CSE,Online,No,65,,90,66,0.6,0
252,EE,Online,No,71,83,74,53,4.6,1
253,ECE,Offline,No,45,93,35,69,3.5,7
254,ECE,Hybrid,Yes,81,70,58,55,3.4,5
255,ME,Online,Yes,47,43,91,89,4.8,5
256,CSE,Hybrid,No,56,53,55,46,6.5,6
257,CE,Hybrid,No,74,78,76,54,4.4,3
258,ECE,Online,No,63,55,22,26,3,1
259,CE,Online,No,45,89,92,71,4.9,5
260,CE,Online,Yes,,44,27,83,5.8,3
261,CE,Offline,No,59,96,94,89,5,7
262,ECE,Hybrid,Yes,61,68,27,83,6.4,3
263,ECE,Online,Yes,48,60,69,62,5.2,1
264,ECE,Hybrid,Yes,66,43,64,79,7.8,3
265,CE,Hybrid,Yes,82,95,69,37,2.9,6
266,ECE,Offline,No,65,54,29,50,2.9,6
267,ECE,Offline,Yes,99,37,65,47,4.5,6
268,ME,Offline,No,45,70,41,29,6.4,7
269,ECE,Online,No,47,33,95,79,-0.9,7
270,CSE,Online,Yes,99,97,74,63,3.3,6
271,CSE,Online,Yes,56,73,39,83,6.5,4
272,EE,Hybrid,Yes,,50,20,43,3.5,5
273,ME,Hybrid,Yes,52,40,25,93,2.8,3
274,CE,Hybrid,Yes,98,62,41,84,3,0
275,CSE,Online,No,97,68,65,96,5.1,2
276,EE,Hybrid,Yes,97,76,85,61,-0.2,0
277,ME,Online,Yes,,38,79,65,2,1
278,ME,Online,No,81,48,38,90,3.6,6
279,ECE,Online,Yes,45,49,95,51,6.8,1
280,CSE,Hybrid,No,84,30,42,51,2.4,6
281,CSE,Hybrid,Yes,82,51,91,73,5,1
282,ME,Online,No,74,87,54,38,6,2
283,EE,Hybrid,Yes,86,56,52,78,5.6,6
284,ECE,Offline,No,95,76,81,93,6.9,1
285,ECE,Hybrid,Yes,62,83,31,35,2.9,7
286,CE,Hybrid,No,48,46,78,72,2.7,2
287,ME,Online,No,88,76,51,26,5.4,0
288,EE,Offline,Yes,50,36,97,56,3.8,3
289,ME,Online,Yes,52,49,55,70,8,5
290,ECE,Offline,Yes,69,93,69,70,2.2,3
291,CSE,Hybrid,No,58,78,62,91,4.7,4
292,CE,Hybrid,No,83,52,67,50,5.1,0
293,ECE,Offline,No,66,40,55,31,5.6,0
294,CE,Hybrid,No,70,76,68,35,1.9,5
295,CSE,Offline,Yes,95,34,63,49,6.6,2
296,CSE,Online,No,55,65,80,86,4,2
297,ECE,Offline,No,60,49,24,56,3.7,0
298,EE,Offline,Yes,99,78,41,97,2.4,2
299,CE,Offline,Yes,85,81,57,95,4.2,7
300,ME,Offline,No,61,82,26,69,5,1
301,ME,Hybrid,No,65,55,20,33,3.7,2
302,CSE,Offline,Yes,57,42,74,60,2.9,6
303,ME,Offline,Yes,74,46,37,80,3.8,7
304,CE,Online,No,60,50,93,40,7.2,2
305,ME,Online,No,78,80,43,41,5.1,0
306,CSE,Hybrid,No,77,89,31,29,5.8,0
307,ME,Online,Yes,77,75,44,39,,6
308,ECE,Online,No,90,47,23,47,2.7,4
309,CSE,Hybrid,No,81,33,46,43,5.4,4
310,CE,Hybrid,Yes,47,40,88,25,3.2,5
311,ECE,Hybrid,No,84,98,54,37,3.6,3
312,CE,Offline,Yes,64,68,47,79,5.5,1
313,CSE,Hybrid,No,73,44,25,29,2.2,7
314,ME,Offline,No,65,,91,93,3.5,3
315,CE,Online,Yes,65,48,63,75,8.4,0
316,CE,Online,Yes,56,89,93,38,,3
317,EE,Offline,No,85,80,20,36,4,0
318,CSE,Online,Yes,55,,58,66,4.4,2
319,CSE,Online,Yes,73,40,72,69,3.9,6
320,CSE,Hybrid,No,61,98,66,33,3.5,0
321,CE,Online,Yes,84,65,21,90,4.2,2
322,ECE,Offline,No,,41,85,42,2.8,0
323,CSE,Online,Yes,71,80,72,86,5.4,4
324,ME,Online,No,71,84,27,31,5.9,0
325,ECE,Online,No,89,97,64,56,3.3,4
326,CE,Offline,Yes,67,34,75,63,2.8,5
327,CSE,Hybrid,Yes,50,,25,62,4.3,7
328,EE,Offline,Yes,65,67,47,71,4.9,0
329,CSE,Online,No,48,44,93,25,4.5,4
330,EE,Online,No,99,65,62,60,5.4,4
331,ECE,Offline,No,91,71,59,49,4.1,2
332,CE,Offline,No,88,63,69,28,,4
333,ECE,Hybrid,Yes,65,60,32,50,1.2,1
334,CSE,Online,Yes,67,76,31,50,6.4,4
335,CSE,Hybrid,Yes,91,71,95,67,6.4,7
336,ECE,Online,No,48,85,50,76,4.9,3
337,EE,Online,Yes,49,43,71,47,3.4,7
338,ECE,Offline,No,88,63,96,78,3.4,6
339,EE,Online,No,92,77,66,91,4.3,4
340,CE,Hybrid,No,97,81,45,69,5.7,0
341,EE,Hybrid,Yes,85,45,56,49,5.5,5
342,CSE,Hybrid,Yes,46,82,68,60,1.8,5
343,CSE,Offline,Yes,99,48,38,96,2.6,1
344,EE,Online,Yes,58,98,98,44,4.2,5
345,CSE,Offline,Yes,48,65,26,72,6.7,5
346,CE,Online,No,53,64,87,56,5,5
347,ECE,Online,No,62,77,42,35,5.3,7
348,EE,Online,Yes,64,69,88,25,6.7,4
349,ME,Hybrid,Yes,97,77,99,77,4,1
350,CSE,Hybrid,Yes,94,47,88,69,6.8,7
351,CSE,Offline,Yes,50,61,22,62,4.4,0
352,ECE,Offline,No,88,72,77,81,,4
353,ECE,Offline,Yes,72,67,71,86,3.7,2
354,EE,Offline,Yes,84,34,85,51,,1
355,ME,Online,Yes,52,57,74,68,7,1
356,CE,Hybrid,No,72,56,48,71,7,6
357,ME,Online,No,49,32,67,77,7.8,1
358,ME,Offline,Yes,49,84,74,61,5.3,6
359,ME,Offline,No,93,70,46,51,8.9,3
360,CE,Offline,Yes,99,49,63,58,5.8,5
361,ECE,Offline,No,59,87,65,58,6.4,3
362,CE,Hybrid,Yes,51,90,47,36,3.4,5
363,ECE,Offline,Yes,98,,56,27,6.3,4
364,CE,Hybrid,No,,75,55,32,3.3,4
365,ME,Hybrid,No,77,39,23,41,4.1,3
366,CE,Hybrid,Yes,52,54,90,33,3.3,6
367,ECE,Offline,No,93,54,91,34,0.4,1
368,ECE,Offline,Yes,60,33,95,66,3.7,7
369,CSE,Hybrid,No,84,88,81,47,5.5,3
370,CSE,Online,No,67,74,29,53,5.6,5
371,ME,Offline,Yes,53,38,62,84,4.6,7
372,CE,Offline,No,97,45,94,87,4.5,2
373,ME,Offline,Yes,67,50,83,60,9.3,0
374,ECE,Hybrid,Yes,62,63,56,76,7.1,7
375,CE,Hybrid,Yes,99,34,33,63,2.4,0
376,ME,Offline,No,61,98,95,61,2.6,7
377,ME,Hybrid,No,94,34,80,43,3,0
378,ECE,Online,No,85,79,23,53,2.5,0
379,ECE,Online,No,94,67,66,61,3.3,0
380,ME,Offline,No,56,41,42,72,8.5,2
381,EE,Online,Yes,64,68,87,96,7.1,5
382,EE,Hybrid,Yes,51,79,95,99,2.3,3
383,ME,Online,Yes,63,91,63,50,6.2,0
384,CE,Online,No,97,62,90,73,3.6,1
385,EE,Offline,Yes,57,42,49,61,4.8,3
386,CSE,Hybrid,No,73,94,80,35,1.5,7
387,ME,Offline,No,68,32,24,55,5.6,0
388,CSE,Online,Yes,69,71,91,80,4.6,2
389,ME,Online,Yes,70,80,39,40,3,7
390,EE,Online,No,68,71,34,96,4.1,4
391,CE,Offline,No,47,33,41,47,1.7,5
392,CE,Hybrid,Yes,77,74,92,76,3.9,5
393,CSE,Online,Yes,57,90,69,87,3,2
394,CSE,Online,No,77,31,57,94,3.3,6
395,ME,Offline,Yes,80,51,26,61,,7
396,CSE,Offline,No,79,47,23,63,3.7,5
397,CSE,Online,Yes,95,69,85,30,4.5,2
398,EE,Offline,Yes,45,,51,86,2.8,3
399,CE,Online,Yes,54,75,98,30,4,2
400,ME,Offline,No,50,87,80,59,5.1,2
401,EE,Offline,Yes,75,85,58,96,7.4,5
402,CE,Online,No,60,75,91,45,2.9,7
403,CE,Online,Yes,63,50,56,74,8.8,4
404,ECE,Online,Yes,94,38,93,54,3.8,6
405,ECE,Offline,No,83,45,66,89,5.9,4
406,CSE,Online,No,91,74,65,29,3.6,0
407,CSE,Online,Yes,98,98,57,59,2,7
408,ECE,Online,Yes,51,66,73,25,4.8,0
409,EE,Hybrid,No,85,60,97,85,2.6,4
410,ME,Hybrid,No,,32,50,82,,2
411,EE,Hybrid,Yes,47,79,51,53,5.6,2
412,CE,Online,Yes,87,74,59,91,2.4,3
413,CE,Offline,No,46,67,22,83,3,7
414,EE,Hybrid,No,79,61,82,46,5.6,0
415,CSE,Hybrid,Yes,69,83,37,81,7.2,7
416,CE,Offline,No,91,99,47,94,3.5,6
417,EE,Offline,No,46,69,35,31,5.1,0
418,ECE,Hybrid,Yes,58,98,93,71,3,7
419,ME,Hybrid,Yes,50,32,20,39,5.6,3
420,EE,Online,Yes,71,57,51,79,6.7,7
421,ME,Hybrid,Yes,95,39,29,52,4,1
422,CSE,Hybrid,Yes,,58,84,52,5.1,7
423,EE,Offline,Yes,69,95,59,65,3.3,6
424,CSE,Offline,No,96,48,43,47,5.2,4
425,CE,Offline,No,87,74,72,94,3.8,5
426,ME,Online,Yes,82,59,58,30,5.7,6
427,ME,Offline,Yes,45,89,78,72,2.3,7
428,CE,Hybrid,Yes,57,33,58,47,4,3
429,EE,Hybrid,No,58,74,56,59,,0
430,ECE,Online,No,90,53,77,79,2.7,4
431,ECE,Online,No,49,69,50,75,10.9,3
432,ME,Online,Yes,69,98,93,82,1.8,4
433,EE,Offline,No,75,43,26,89,4,0
434,ME,Offline,Yes,71,68,73,64,3.5,4
435,ME,Online,No,74,90,90,52,6.8,1
436,CSE,Hybrid,No,95,,99,57,4.4,5
437,ECE,Offline,Yes,67,52,57,67,5.1,7
438,EE,Hybrid,Yes,50,98,76,71,6.5,2
439,ME,Offline,No,71,95,50,28,3.4,7
440,EE,Hybrid,No,60,67,31,94,6.6,7
441,EE,Offline,Yes,86,92,79,52,4.4,2
442,EE,Offline,Yes,83,89,51,56,4.2,3
443,ECE,Online,Yes,90,56,67,51,7,0
444,CE,Hybrid,No,84,35,31,39,6.1,6
445,ECE,Hybrid,Yes,49,37,66,57,7.5,4
446,EE,Online,Yes,61,67,68,49,3,3
447,ECE,Hybrid,No,67,93,85,91,7.6,7
448,CSE,Offline,No,88,71,63,51,3.7,7
449,ECE,Offline,No,72,,86,44,4.8,4
450,EE,Online,No,87,50,91,43,3.6,4
451,ECE,Hybrid,Yes,98,80,41,45,5.7,4
452,CSE,Online,Yes,94,95,87,48,3.1,3
453,CSE,Offline,Yes,45,44,30,91,,6
454,ECE,Hybrid,No,52,92,31,95,7.3,0
455,EE,Hybrid,Yes,67,46,34,55,6.5,5
456,EE,Online,No,98,62,46,91,1.1,0
457,ME,Hybrid,Yes,77,43,26,65,4.4,7
458,EE,Hybrid,Yes,70,47,73,41,2.9,2
459,CE,Hybrid,No,97,61,41,43,,6
460,EE,Hybrid,Yes,73,35,34,27,3.4,0
461,CE,Online,Yes,46,66,68,83,2.3,4
462,CE,Online,Yes,81,45,63,43,5.7,3
463,ME,Offline,No,74,39,21,99,,7
464,ME,Offline,No,60,89,63,44,5.4,0
465,EE,Offline,Yes,77,78,98,81,5.9,0
466,EE,Offline,No,73,76,71,75,3.9,6
467,CE,Offline,Yes,,31,43,65,4.8,5
468,ME,Offline,Yes,58,82,74,47,3.5,2
469,ME,Hybrid,No,57,34,35,84,6.5,1
470,EE,Offline,Yes,66,58,75,43,3.5,6
471,CSE,Hybrid,Yes,64,47,45,39,6.3,2
472,CSE,Hybrid,No,90,32,51,44,4,6
473,CSE,Online,No,85,36,42,55,5.1,4
474,ME,Online,No,54,91,89,27,5.4,5
475,CSE,Offline,No,79,93,45,42,5.6,1
476,CSE,Offline,No,59,99,37,69,7,1
477,EE,Online,Yes,,78,25,26,4.6,6
478,EE,Online,No,,55,82,60,4.3,3
479,ECE,Online,No,78,39,50,48,4.9,2
480,CSE,Online,No,47,88,37,46,6,4
481,CE,Offline,No,85,33,94,39,2.5,0
482,CSE,Hybrid,No,68,40,96,60,3.8,2
483,CSE,Hybrid,Yes,81,,41,60,7.5,1
484,CSE,Offline,Yes,68,99,63,73,2.8,7
485,CSE,Hybrid,Yes,57,85,29,49,3,1
486,EE,Offline,No,82,62,89,58,6.5,1
487,EE,Offline,Yes,79,49,28,73,3.8,0
488,CSE,Hybrid,Yes,59,53,32,80,4.8,5
489,ECE,Online,No,76,95,68,67,5.8,4
490,ECE,Offline,Yes,87,35,77,45,4.4,5
491,CSE,Online,No,73,48,21,25,3.5,4
492,CE,Online,No,97,85,75,85,2.4,5
493,EE,Online,Yes,98,41,45,72,3.5,5
494,ME,Online,No,45,84,52,81,3.2,1
495,CE,Offline,No,64,38,29,52,3.2,5
496,EE,Online,No,75,37,48,96,4.2,7
497,ME,Hybrid,Yes,48,42,82,39,6.2,4
498,ECE,Online,Yes,55,75,77,59,2.3,4
499,ECE,Online,Yes,91,78,37,30,3.2,2
500,EE,Online,Yes,52,35,54,44,4.3,4
501,EE,Online,No,71,78,91,31,3.5,2
502,ME,Hybrid,No,49,56,31,56,6.5,0
503,ECE,Hybrid,Yes,52,93,67,78,3.6,2
504,CE,Hybrid,No,80,59,87,27,4.5,7
505,ECE,Offline,No,,,98,70,3,3
506,ME,Online,No,60,83,52,95,2.1,2
507,ECE,Offline,Yes,62,68,78,55,4.7,6
508,CE,Offline,No,76,47,72,29,2.4,2
509,ECE,Offline,Yes,,77,71,50,6.6,4
510,CE,Offline,No,94,30,26,62,2.6,7
511,CSE,Hybrid,Yes,91,39,51,57,3.5,2
512,CE,Hybrid,Yes,,97,93,69,4.2,2
513,CE,Offline,No,93,77,33,58,5.7,4
514,EE,Hybrid,Yes,66,76,83,59,8.3,4
515,ECE,Hybrid,Yes,85,60,45,60,3.5,7
516,ECE,Hybrid,Yes,91,88,38,44,2.6,7
517,EE,Hybrid,No,86,36,80,98,3.9,4
518,ECE,Hybrid,No,59,94,22,93,3.7,6
519,CSE,Offline,No,95,68,32,62,3.1,6
520,ME,Online,Yes,52,63,56,97,5.9,6
521,ECE,Online,No,54,70,98,82,4.5,1
522,CE,Online,Yes,84,96,41,41,4.8,4
523,CSE,Online,No,50,75,47,50,6.4,1
524,CE,Offline,Yes,73,69,65,65,1.8,0
525,CE,Hybrid,Yes,76,56,36,76,4.8,2
526,CSE,Online,No,79,79,96,57,2.1,1
527,CSE,Hybrid,Yes,73,64,96,77,3.5,4
528,ECE,Online,No,94,63,75,52,3,0
