department,study_mode,hosteller,attendance,assignment_score,midterm_score,final_score,study_hours,backlogs,placement_selected
ME,Hybrid,Yes,81,56,41,81,4.3,0,1
CSE,Offline,No,92,60,51,44,8.3,0,1
EE,Online,Yes,58,71,69,30,7.5,5,0
ME,Hybrid,No,68,50,92,54,7.5,0,1
EE,Offline,Yes,61,56,79,87,3.7,4,0
CSE,Online,Yes,78,90,40,34,4.4,0,1
ME,Hybrid,Yes,53,45,36,94,0.4,3,0
ECE,Online,No,96,60,70,72,5.3,0,1
EE,Offline,No,95,65,32,59,3.3,1,0
ECE,Offline,No,86,84,92,60,4.4,2,1
EE,Hybrid,Yes,69,35,39,92,5.7,1,0
ECE,Hybrid,Yes,92,35,40,77,1.9,5,0
CSE,Online,Yes,55,38,58,75,7.5,3,0
ME,Hybrid,Yes,81,85,40,36,6.5,1,1
EE,Online,Yes,92,86,37,83,3.3,0,1
ME,Offline,No,75,96,41,32,3.6,1,0
CE,Online,Yes,51,54,26,69,7.6,5,0
ECE,Hybrid,No,70,39,39,56,6.4,1,0
EE,Hybrid,No,98,97,38,39,5.1,1,1
ECE,Hybrid,No,87,65,42,54,2.7,5,0
CSE,Online,Yes,93,84,63,62,5.1,1,1
ECE,Hybrid,Yes,50,48,69,73,4.9,5,0
EE,Online,No,62,61,28,67,4.6,1,0
EE,Offline,No,53,43,59,53,5.2,3,0
ECE,Hybrid,Yes,58,69,50,32,2.8,4,0
ME,Online,No,58,37,49,78,7.1,5,0
ECE,Online,Yes,75,83,74,82,5,3,1
CSE,Online,Yes,64,62,71,58,8.5,5,0
ME,Offline,No,73,67,80,56,5.6,4,0
CSE,Online,Yes,84,95,90,87,4.5,3,1
CSE,Online,No,88,44,62,31,5.9,2,0
EE,Offline,Yes,50,61,85,68,2,1,0
CSE,Online,Yes,52,72,91,98,5.4,0,1
CE,Offline,No,63,98,60,46,4.7,4,0
CE,Online,No,74,61,26,76,6.3,5,0
CE,Online,Yes,74,86,61,46,4.2,5,0
ECE,Hybrid,Yes,56,56,64,57,4.9,4,0
CE,Offline,No,60,81,96,67,5.1,3,1
ME,Hybrid,Yes,62,70,46,87,7.9,2,1
ECE,Offline,Yes,64,71,55,52,4.9,1,0
CSE,Offline,Yes,62,56,42,64,5.1,5,0
ECE,Offline,No,92,56,51,96,4.4,5,0
EE,Online,No,92,81,92,35,2.6,2,0
CE,Offline,Yes,77,58,39,73,7.5,3,0
CE,Online,Yes,82,91,65,84,4.9,5,0
CE,Online,Yes,65,84,75,42,4.5,1,1
ME,Offline,No,72,47,40,34,2.8,0,0
CE,Hybrid,No,87,70,53,31,5.1,3,0
EE,Online,Yes,78,41,86,99,5.4,4,0
CE,Offline,No,62,88,70,58,5.5,2,1
EE,Hybrid,Yes,52,44,47,31,5.1,0,0
CE,Hybrid,No,73,46,51,45,4.2,5,0
EE,Hybrid,Yes,74,98,25,40,3.5,1,0
ME,Hybrid,No,57,64,92,64,5.3,3,0
ME,Hybrid,Yes,54,72,52,31,3.6,3,0
CSE,Hybrid,No,80,86,50,67,3.3,5,0
CSE,Online,No,54,89,72,61,4,3,0
EE,Offline,No,53,76,44,64,2.7,3,0
CE,Online,No,70,41,64,65,4.9,0,1
ME,Online,No,86,55,83,56,6,4,0
CSE,Hybrid,No,97,51,77,39,5.8,5,0
ME,Offline,No,75,76,28,44,4.7,1,0
ECE,Online,Yes,52,61,49,55,4.9,5,0
ME,Hybrid,No,50,89,43,97,4.4,3,0
CE,Offline,No,64,41,87,71,5.7,5,0
EE,Online,No,61,36,86,54,5.7,2,0
ME,Online,Yes,93,83,76,68,8.6,0,1
ECE,Offline,No,90,74,52,65,5,1,1
CSE,Offline,No,87,98,96,65,3.9,4,1
ME,Offline,No,97,84,54,89,5.9,0,1
CE,Hybrid,Yes,97,51,26,95,6.6,1,1
EE,Offline,Yes,60,47,31,84,4.6,4,0
CE,Hybrid,Yes,92,95,44,32,5.3,1,1
ECE,Offline,No,72,88,39,61,5.2,0,1
CE,Online,Yes,88,60,77,64,5.1,3,0
CE,Offline,Yes,92,74,69,94,4.5,1,1
CE,Online,Yes,72,74,99,65,3.4,3,1
ME,Hybrid,Yes,96,46,61,78,4,4,0
ME,Hybrid,Yes,63,69,80,68,6.4,1,1
CE,Offline,No,79,70,36,83,9,5,0
CE,Online,No,53,50,28,48,2.8,1,0
EE,Offline,Yes,83,79,50,74,3.4,3,0
CE,Offline,Yes,77,85,85,38,4.3,4,0
CE,Hybrid,Yes,85,42,85,62,3.9,2,0
ECE,Hybrid,No,74,35,99,79,3.4,4,0
ME,Hybrid,Yes,74,86,75,50,3.7,5,0
CE,Online,No,84,48,88,39,4.8,4,0
CSE,Online,Yes,79,50,54,34,3.1,1,0
CSE,Offline,No,76,93,43,75,3.4,2,1
CE,Online,Yes,95,60,97,90,4.8,5,1
CE,Offline,Yes,92,41,55,89,4.4,3,0
CE,Offline,No,75,65,85,54,4.4,5,0
CE,Offline,No,77,37,98,75,7.8,1,1
ECE,Online,Yes,85,99,88,37,2.8,3,0
CSE,Hybrid,No,72,43,36,89,6.2,3,0
CE,Offline,No,50,40,32,62,4.2,3,0
EE,Hybrid,No,88,70,57,67,5.6,3,0
ECE,Hybrid,No,63,90,82,74,3.8,2,1
ECE,Offline,Yes,80,71,94,84,4.2,5,0
ECE,Offline,Yes,65,37,47,83,5.9,3,0
ECE,Hybrid,No,69,72,98,35,3.9,0,1
ECE,Offline,No,84,57,55,79,5.3,2,1
EE,Hybrid,No,99,78,84,71,3.9,5,0
ME,Offline,Yes,82,58,56,66,2.7,2,0
EE,Hybrid,No,96,80,61,37,6.9,1,1
ECE,Hybrid,No,59,94,92,59,5.6,3,1
ME,Hybrid,No,63,68,52,59,4.4,4,0
ECE,Offline,Yes,67,73,33,65,3.5,5,0
ME,Offline,Yes,54,53,37,32,5.3,1,0
CSE,Online,No,89,78,44,58,4.3,1,1
ME,Online,Yes,98,56,51,62,4,4,0
ME,Hybrid,Yes,67,51,55,43,6.4,1,0
CE,Offline,Yes,92,84,33,31,5.5,1,0
ECE,Hybrid,Yes,75,35,65,82,5.3,3,0
EE,Offline,No,97,35,97,75,5.7,3,1
ME,Hybrid,Yes,70,64,78,91,2.4,1,1
CE,Online,No,96,97,81,72,5.1,3,1
ECE,Online,No,96,96,73,63,5.2,0,1
CSE,Offline,No,75,69,39,45,6.6,2,0
ECE,Online,No,91,86,40,84,5.5,4,1
ECE,Online,Yes,95,80,84,58,6,0,1
ME,Hybrid,No,90,46,68,40,5,3,0
ECE,Hybrid,No,62,45,31,39,4.5,5,0
ME,Online,No,63,49,61,70,4.7,4,0
CE,Offline,Yes,96,48,76,50,4.1,5,0
ECE,Online,Yes,64,64,36,83,5.6,0,1
EE,Hybrid,No,69,84,64,45,3.7,3,0
CSE,Offline,Yes,99,69,59,70,6.2,2,1
CE,Online,Yes,58,72,33,97,5.5,3,0
CSE,Online,Yes,53,43,96,55,4.4,4,0
ME,Offline,No,65,59,40,48,4.6,1,0
EE,Online,Yes,52,37,32,37,5.1,2,0
CSE,Hybrid,Yes,73,90,44,89,3.9,2,1
CE,Online,No,92,44,56,48,5.8,0,1
CSE,Hybrid,No,68,80,93,31,3.8,3,0
ECE,Hybrid,Yes,91,98,73,54,6.8,3,1
ECE,Offline,Yes,52,59,98,83,4.9,1,1
CSE,Offline,No,67,52,60,76,6.7,0,1
ECE,Hybrid,Yes,94,47,85,31,3.9,2,0
CSE,Online,Yes,52,86,61,67,5.2,5,0
EE,Offline,No,97,72,63,63,3.7,3,0
ME,Online,No,90,55,35,93,2.3,0,1
CE,Offline,Yes,94,90,50,71,8.3,5,1
CE,Offline,No,89,47,48,35,5.3,2,0
CE,Hybrid,No,71,44,53,96,8,1,1
ECE,Offline,Yes,95,46,25,63,4.8,0,0
ECE,Hybrid,Yes,80,54,93,82,3.9,4,0
ECE,Hybrid,No,55,99,62,48,6.4,4,0
ECE,Online,Yes,66,63,96,98,5.8,4,1
ECE,Offline,Yes,50,53,61,81,5.1,2,0
CSE,Hybrid,No,97,63,82,60,6.1,2,1
ME,Hybrid,Yes,55,91,33,39,5.9,0,0
ECE,Hybrid,Yes,87,71,73,69,3.8,4,0
CE,Hybrid,Yes,63,85,49,93,6.1,2,1
CSE,Offline,Yes,72,37,70,78,7.2,2,1
ME,Online,No,60,80,54,97,4.5,2,1
EE,Online,Yes,70,90,86,66,7.5,1,1
EE,Online,Yes,99,59,91,72,2.5,0,1
CE,Online,No,63,37,49,58,6.9,4,0
ECE,Hybrid,Yes,98,82,94,36,4.4,5,0
CSE,Hybrid,Yes,80,99,53,54,3.3,0,1
ME,Online,No,68,71,55,40,5.6,5,0
CSE,Online,Yes,85,51,64,44,3.9,5,0
EE,Offline,No,85,78,64,84,6.5,2,1
CE,Offline,Yes,82,42,43,71,7.5,3,0
ECE,Hybrid,No,71,36,72,87,6.8,5,0
ME,Online,Yes,67,68,63,59,5,5,0
CE,Hybrid,No,76,75,81,65,7.6,5,0
CSE,Online,No,61,52,69,63,3.5,1,0
CE,Hybrid,Yes,51,89,32,40,4.2,0,0
CE,Offline,No,86,84,39,90,6.8,4,1
ME,Offline,No,74,98,31,80,5.2,4,0
ECE,Hybrid,Yes,57,59,33,38,7.5,5,0
CE,Offline,No,65,73,87,79,5.2,4,0
CSE,Offline,Yes,61,64,36,32,5.4,4,0
CSE,Online,No,60,77,64,74,7.9,5,0
ME,Online,Yes,56,37,57,38,2.2,0,0
CSE,Hybrid,Yes,78,75,67,57,5.3,1,1
EE,Hybrid,Yes,93,81,62,62,4.5,1,1
CSE,Offline,Yes,51,50,91,32,2.9,5,0
ME,Online,Yes,80,52,70,73,6.1,1,1
ECE,Hybrid,Yes,68,72,83,47,6.5,0,1
CSE,Online,No,84,67,45,38,4.3,2,0
CE,Online,Yes,64,88,95,42,6.8,4,0
EE,Offline,No,72,79,62,89,4.1,1,1
ECE,Hybrid,No,53,46,75,64,5.6,1,0
CE,Hybrid,Yes,83,66,26,89,4.1,3,0
ECE,Offline,Yes,70,53,72,91,1.5,1,1
ECE,Online,No,78,86,95,54,6.3,2,1
CSE,Hybrid,Yes,70,38,34,57,4.4,3,0
EE,Online,Yes,68,84,87,44,7.6,3,1
EE,Hybrid,No,79,79,62,62,5.5,0,1
ECE,Offline,No,71,85,92,60,7.1,0,1
CSE,Online,Yes,92,89,31,47,4.7,5,0
ECE,Offline,No,94,47,28,56,6.1,5,0
CSE,Offline,No,89,66,60,41,7.6,0,1
CSE,Online,Yes,97,44,91,45,4.2,1,1
ME,Online,Yes,99,55,30,30,7.2,4,0
CE,Hybrid,Yes,80,89,29,44,5.1,1,0
ECE,Hybrid,Yes,87,38,44,85,5.7,1,1
EE,Offline,No,57,43,36,51,5.8,0,0
ME,Offline,Yes,77,75,67,90,3.8,5,0
CSE,Hybrid,No,90,62,95,82,5.6,0,1
ECE,Online,No,78,47,88,57,7.2,2,1
ME,Hybrid,Yes,75,67,32,94,4.3,0,1
EE,Hybrid,No,95,50,27,80,4.9,1,0
CE,Hybrid,Yes,50,49,64,69,8.1,0,1
CSE,Offline,No,61,87,81,32,5.2,1,1
CE,Offline,Yes,74,70,91,62,7.1,4,1
CSE,Hybrid,Yes,99,49,28,44,4.5,2,0
ECE,Hybrid,No,82,75,27,59,5.2,4,0
CSE,Offline,Yes,57,99,56,30,5.1,4,0
CE,Hybrid,Yes,79,47,74,40,5.6,4,0
CE,Offline,Yes,86,66,36,94,7.8,5,0
ME,Offline,No,93,60,50,73,1.8,5,0
CE,Hybrid,No,93,42,42,65,5.8,1,0
ECE,Online,Yes,95,93,80,86,6.3,4,1
CE,Online,Yes,81,41,86,30,6.6,4,0
ME,Online,Yes,81,76,73,35,5,5,0
ECE,Online,Yes,78,84,50,95,4.6,1,1
ME,Online,Yes,96,89,45,73,7,0,1
ME,Online,No,86,91,98,31,5.3,5,0
EE,Hybrid,Yes,61,45,96,51,2.3,0,0
ME,Offline,No,67,52,72,90,3.9,3,0
CE,Online,No,93,67,93,97,5.9,5,1
ECE,Offline,Yes,78,96,79,71,6.7,3,1
CSE,Offline,No,87,74,78,80,5.6,3,1
ME,Offline,No,84,51,57,63,3.7,1,0
CE,Online,No,95,92,35,99,3.2,0,1
ME,Offline,No,95,81,60,44,6.5,3,1
EE,Hybrid,No,88,49,75,64,9.1,3,1
CSE,Hybrid,No,85,74,44,75,6.7,0,1
ECE,Hybrid,No,96,66,40,58,3.6,1,0
ECE,Online,Yes,98,38,82,72,4.7,5,0
CE,Hybrid,Yes,95,36,98,58,6.5,3,1
CSE,Hybrid,No,59,85,27,94,5.4,4,0
CSE,Hybrid,No,55,80,62,66,7,2,1
CE,Hybrid,No,86,63,49,89,6.3,4,0
CSE,Hybrid,No,93,46,40,48,5.7,1,0
CSE,Online,Yes,53,91,28,84,3.9,4,0
ME,Offline,No,93,84,75,32,7,1,1
CSE,Hybrid,No,85,60,33,86,4.6,4,0
CE,Online,Yes,73,90,50,88,7.1,5,1
EE,Online,No,87,92,41,90,6.4,0,1
EE,Hybrid,Yes,89,66,70,31,5.9,0,1
ECE,Offline,Yes,64,99,39,96,5.5,1,1
EE,Online,Yes,67,75,27,36,4.3,2,0
ECE,Hybrid,Yes,62,44,52,89,5.9,5,0
ME,Hybrid,No,83,79,28,93,4.3,2,1
ECE,Offline,Yes,80,71,29,47,4.9,4,0
ECE,Hybrid,No,91,87,78,82,4,5,1
CE,Offline,No,57,78,47,45,4.5,3,0
CE,Offline,No,99,41,50,38,0.6,4,0
ECE,Offline,Yes,99,95,38,68,5.4,5,0
CSE,Offline,Yes,85,69,96,85,6.1,2,1
CSE,Offline,Yes,66,49,76,39,4.4,5,0
ECE,Hybrid,No,74,71,36,70,4.6,3,0
ME,Offline,No,78,51,59,93,3.8,0,1
ECE,Online,Yes,55,94,69,56,2.9,0,1
CSE,Offline,No,58,83,53,69,6.9,1,1
EE,Online,Yes,77,52,28,92,6.4,4,0
ECE,Hybrid,No,61,59,73,36,4.8,0,0
CE,Online,Yes,81,98,98,50,5,4,1
CE,Offline,No,85,96,89,54,6.4,5,1
EE,Online,No,64,54,52,56,6.4,5,0
ECE,Online,No,82,87,79,52,8.4,2,1
EE,Offline,Yes,94,70,41,98,7.6,5,1
ECE,Hybrid,Yes,71,53,45,46,2.6,3,0
ECE,Online,Yes,87,79,25,64,4.7,2,0
ME,Online,No,51,63,32,50,7.7,0,0
ME,Hybrid,Yes,62,92,83,57,6.5,5,0
EE,Online,Yes,90,89,69,60,3.8,0,1
CE,Offline,No,69,65,42,48,5.6,3,0
CE,Online,Yes,68,35,32,68,4.5,1,0
CSE,Hybrid,No,83,81,26,92,5.2,5,0
CSE,Online,Yes,85,46,27,37,6.2,2,0
EE,Hybrid,Yes,92,93,66,97,4.4,0,1
CSE,Hybrid,Yes,81,42,55,66,3.2,0,0
CE,Hybrid,Yes,80,90,56,43,5.8,0,1
ME,Hybrid,Yes,80,70,34,50,4.2,3,0
ECE,Online,No,52,86,75,91,8.1,3,1
ECE,Online,No,68,45,35,93,4.5,0,1
CE,Hybrid,Yes,94,92,59,41,7.3,5,0
CSE,Online,No,51,62,97,81,4,1,1
ME,Online,Yes,69,63,85,85,4.3,5,0
CE,Hybrid,No,82,72,62,78,3.6,0,1
CE,Online,Yes,52,85,53,73,4.5,5,0
EE,Hybrid,Yes,81,77,34,98,3.9,3,0
ECE,Offline,No,79,50,57,30,5.8,3,0
ME,Online,Yes,60,55,55,54,5.3,3,0
ECE,Offline,Yes,88,38,61,31,5.9,3,0
ME,Online,No,80,92,25,67,6.8,5,0
EE,Hybrid,Yes,63,74,80,38,5.9,4,0
ECE,Offline,Yes,86,42,73,71,3.8,4,0
CSE,Offline,No,75,93,68,76,4.8,0,1
CE,Online,No,95,45,34,67,3.6,2,0
ME,Online,Yes,64,61,67,34,4.3,3,0
CE,Offline,No,87,52,97,94,5.3,1,1
EE,Online,Yes,95,62,45,97,7.8,1,1
EE,Online,No,95,60,82,58,4.7,0,1
ME,Online,Yes,55,57,58,65,6.3,5,0
EE,Offline,No,72,91,78,99,3.4,4,1
CE,Hybrid,No,79,54,80,52,3,3,0
ME,Hybrid,Yes,84,93,68,85,2.9,3,1
CSE,Hybrid,Yes,60,93,65,45,7.4,4,0
CE,Hybrid,No,88,64,73,61,7.2,2,1
EE,Hybrid,Yes,93,94,97,65,3.3,4,1
ECE,Hybrid,Yes,91,39,66,75,2.7,3,0
ME,Online,Yes,90,84,42,63,4.9,1,1
ME,Online,Yes,78,87,54,57,2.5,3,0
EE,Offline,Yes,72,53,32,88,4.3,3,0
ECE,Hybrid,Yes,56,40,76,57,7.6,1,0
CSE,Hybrid,No,63,80,99,68,5.9,4,1
CE,Hybrid,No,56,66,73,32,5,5,0
ME,Hybrid,Yes,68,66,35,70,5.2,1,0
ECE,Offline,No,85,49,93,68,6.8,4,0
ME,Online,No,70,92,44,74,4.5,1,1
ECE,Online,Yes,69,71,97,76,3,4,0
ECE,Offline,Yes,82,87,90,89,6.1,2,1
CSE,Hybrid,Yes,78,36,38,78,6.8,3,0
ECE,Hybrid,Yes,74,50,91,52,6.9,2,1
ME,Hybrid,Yes,97,83,34,30,5.5,3,0
EE,Online,Yes,52,47,96,33,3.9,4,0
CSE,Online,Yes,76,55,48,99,2.5,3,0
ECE,Hybrid,Yes,93,54,78,74,7.2,3,1
ME,Offline,Yes,82,37,62,32,5.2,1,0
CSE,Hybrid,No,90,63,97,36,5.6,1,1
CSE,Online,No,94,35,31,98,4.9,4,0
CSE,Offline,Yes,98,36,70,37,7,3,0
CSE,Hybrid,Yes,76,44,75,81,3.1,1,1
ME,Offline,Yes,67,90,42,69,8.3,2,1
CE,Hybrid,Yes,60,60,27,37,2.2,2,0
ECE,Offline,Yes,76,87,94,94,4.6,0,1
ME,Offline,No,92,51,39,61,4.2,3,0
ECE,Online,Yes,68,90,33,83,7.1,4,0
CE,Offline,Yes,62,52,88,59,7.3,5,0
ME,Offline,No,84,55,86,61,4.3,0,1
ECE,Online,No,71,66,82,85,4.3,4,0
CSE,Hybrid,Yes,64,55,61,70,6.5,0,1
EE,Hybrid,No,51,60,77,62,5.9,5,0
ECE,Hybrid,No,91,35,28,94,4.5,3,0
ECE,Hybrid,No,87,49,83,50,6.3,2,1
ME,Offline,Yes,50,76,35,65,8.7,3,0
ECE,Hybrid,No,69,89,63,50,5.6,3,0
CSE,Offline,Yes,55,96,82,51,4.2,2,1
CSE,Hybrid,No,75,44,93,92,4.8,1,1
EE,Offline,Yes,89,62,52,32,6.4,4,0
ECE,Hybrid,No,60,67,71,84,2.6,2,0
ME,Hybrid,No,82,42,63,92,1.5,3,0
ECE,Online,Yes,73,79,61,53,7.7,5,0
CE,Online,Yes,91,49,98,79,5.9,5,0
CSE,Hybrid,No,57,80,65,51,1.8,1,0
ECE,Online,No,70,68,50,46,5.2,1,0
CE,Online,Yes,64,99,46,86,0.9,4,0
CSE,Hybrid,Yes,90,48,48,43,4.1,5,0
CSE,Online,No,65,72,86,58,7.8,2,1
CE,Offline,Yes,61,83,58,74,2.7,1,1
EE,Offline,Yes,69,46,85,54,5.8,5,0
EE,Hybrid,No,94,49,56,67,3.9,4,0
EE,Offline,No,51,69,74,92,5.8,4,0
ME,Offline,No,58,51,57,51,4.1,2,0
ECE,Online,No,82,89,96,56,5.3,5,0
ECE,Offline,No,93,49,31,96,5.6,5,0
EE,Hybrid,Yes,68,72,71,42,2.8,4,0
ME,Offline,No,68,37,65,57,5.3,0,0
EE,Online,Yes,50,90,67,39,5,2,0
EE,Hybrid,No,54,37,42,88,6,2,0
ECE,Online,Yes,86,91,98,99,3.9,0,1
ECE,Online,Yes,94,59,92,59,3.7,0,1
CSE,Hybrid,No,56,51,95,58,3,4,0
EE,Online,No,63,58,83,97,6.6,5,0
EE,Offline,No,74,36,93,99,3.2,1,1
ECE,Hybrid,No,61,66,68,80,3.1,5,0
CE,Offline,Yes,83,97,62,38,5.2,3,0
CE,Hybrid,No,71,69,54,51,7.4,4,0
CSE,Online,No,84,39,26,54,8.8,1,0
EE,Offline,Yes,57,86,34,33,2.9,5,0
CE,Online,Yes,56,57,46,47,4,0,0
ME,Online,No,95,66,50,42,5.4,1,0
ECE,Offline,Yes,72,64,53,43,4.1,0,0
EE,Offline,No,97,60,77,53,3.5,4,0
CE,Online,Yes,86,52,59,96,4.1,1,1
CE,Online,No,68,39,75,77,4.5,3,0
ME,Online,No,64,53,25,96,4.4,2,0
ME,Offline,Yes,75,64,32,37,2.5,0,0
EE,Offline,No,65,67,58,67,4.8,3,0
CSE,Hybrid,No,94,71,45,33,2.6,2,0
EE,Hybrid,Yes,89,67,32,74,5.5,3,0
ECE,Hybrid,Yes,90,41,67,91,4.7,5,0
CSE,Offline,No,63,90,74,88,7.5,5,1
CSE,Online,No,92,73,90,59,5.4,0,1
ECE,Online,No,87,38,65,95,6,1,1
CE,Hybrid,No,86,57,56,49,6.9,2,0
ECE,Offline,No,95,64,25,72,7.1,0,1
EE,Online,No,65,96,54,79,5.3,3,1
EE,Online,No,88,96,41,47,5,1,1
CE,Hybrid,No,56,38,55,34,4.1,2,0
CE,Hybrid,Yes,98,62,89,77,5.4,3,1
ECE,Online,No,84,89,53,34,4.6,1,1
ME,Offline,No,55,77,97,45,5.9,4,0
CE,Hybrid,Yes,71,95,83,77,3,1,1
EE,Offline,No,82,56,79,37,6,3,0
EE,Hybrid,No,88,98,48,49,5,2,1
ME,Offline,No,51,46,51,73,5.6,1,0
ECE,Online,No,85,70,55,38,4.3,4,0
CSE,Offline,Yes,93,82,29,45,3.3,1,0
EE,Offline,No,52,95,25,91,6.6,0,1
ECE,Online,No,53,38,91,38,2.9,5,0
ECE,Offline,Yes,78,86,64,33,2.5,4,0
CE,Offline,Yes,85,48,31,83,5.3,0,1
EE,Hybrid,Yes,79,63,29,67,5.8,1,0
EE,Hybrid,No,76,91,73,94,3.2,1,1
ME,Hybrid,Yes,68,73,31,41,6.8,3,0
CSE,Offline,No,90,84,76,48,5.9,5,0
CE,Offline,No,54,58,37,37,6.5,1,0
EE,Online,No,52,83,39,98,5.9,1,1
ME,Hybrid,No,99,39,53,87,5.5,2,1
CE,Hybrid,Yes,63,68,83,49,1.8,3,0
ME,Online,No,68,38,42,96,5.7,4,0
ECE,Hybrid,Yes,86,97,47,93,3,4,1
ECE,Hybrid,Yes,70,96,75,86,3,1,1
ECE,Hybrid,Yes,50,38,26,48,2.9,3,0
ECE,Hybrid,No,76,58,47,98,4.5,5,0
CSE,Online,No,57,48,40,92,3.6,0,0
CE,Offline,No,63,86,52,38,4.2,1,0
CE,Hybrid,No,92,35,70,99,4.5,1,1
CSE,Online,Yes,52,82,85,64,3.2,4,0
ME,Hybrid,No,73,54,31,97,6.4,0,1
EE,Offline,Yes,74,70,43,88,5.7,3,0
EE,Offline,No,81,41,72,96,5.8,5,0
ME,Online,Yes,77,67,62,67,5.6,1,1
CE,Offline,Yes,82,54,80,38,7.8,4,0
ECE,Online,Yes,65,91,72,84,6.6,0,1
CE,Online,No,94,76,28,37,4.1,4,0
EE,Hybrid,No,59,60,54,65,8.5,0,1
ECE,Online,Yes,81,50,26,49,2.5,3,0
CSE,Offline,Yes,72,56,82,92,5.1,3,1
CSE,Offline,Yes,93,93,28,35,4.2,4,0
ME,Offline,Yes,90,42,56,36,6.3,1,0
CE,Hybrid,Yes,74,38,86,76,5.2,2,0
ME,Hybrid,No,81,99,59,99,4,2,1
ECE,Hybrid,No,62,94,98,73,5,2,1
CSE,Online,Yes,77,79,57,86,6.8,4,1
ME,Online,No,98,76,54,84,2.2,0,1
ECE,Online,No,99,72,81,60,3.7,1,1
ECE,Offline,Yes,57,91,45,53,6.6,2,0
ECE,Online,No,52,80,56,89,5.1,5,0
CSE,Offline,Yes,88,88,74,50,5.2,3,1
CE,Hybrid,Yes,77,52,83,78,4.5,5,0
ME,Hybrid,Yes,97,48,74,48,5.2,1,1
ECE,Hybrid,No,78,53,49,31,4.4,4,0
CSE,Offline,No,80,46,96,90,4.2,0,1
CE,Hybrid,Yes,72,69,56,42,3.5,4,0
CSE,Online,No,65,49,26,71,5.8,4,0
EE,Offline,No,58,80,53,92,5.7,5,0
EE,Hybrid,No,56,83,30,78,5.6,5,0
EE,Hybrid,Yes,61,63,43,47,5.4,3,0
CSE,Offline,No,53,76,93,70,7.6,2,1
CE,Offline,Yes,74,36,91,34,6.2,4,0
CE,Hybrid,No,52,89,25,46,3.2,3,0
CE,Online,Yes,83,56,72,63,7.6,4,0
CSE,Offline,Yes,90,98,69,45,4.7,4,0
CE,Online,No,64,81,93,73,3.4,1,1
ME,Online,Yes,85,46,75,78,8.2,2,1
ME,Offline,Yes,83,61,41,95,3.9,3,0
EE,Offline,Yes,89,62,60,69,5.7,1,1
CSE,Offline,Yes,63,81,46,57,7,5,0
ECE,Hybrid,Yes,63,88,43,87,2.7,0,1
CSE,Online,No,61,79,55,67,5.8,5,0
ECE,Online,Yes,80,47,93,40,5.6,2,0
CSE,Hybrid,Yes,93,99,36,32,3.3,0,1
ECE,Offline,No,62,51,51,39,6.3,4,0
ME,Offline,No,95,49,62,37,5.3,4,0
EE,Offline,No,54,83,78,85,4.1,2,1
ECE,Online,Yes,88,43,44,72,2.9,4,0
EE,Offline,Yes,79,74,59,67,6.6,2,1
CSE,Online,Yes,90,85,90,35,5.8,1,1
EE,Hybrid,No,68,99,42,43,3,2,0
CSE,Online,No,51,96,67,97,2.8,1,1
